Scheme Code	Scheme Name	Asset Value	Date	ISIN Growth	ISIN Reinvestment
119551	Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	108.1037	25-Aug-2025	INF209KA12Z1	INF209KA13Z9
119552	Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	117.5872	25-Aug-2025	INF209K01YM2	-
119553	Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	105.2603	25-Aug-2025	INF209K01YO8	-
108272	Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	151.7761	25-Aug-2025	INF209K01LX6	INF209KA11Z3
110282	Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	113.325	25-Aug-2025	INF209K01LU2	-
108274	Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	103.153	25-Aug-2025	INF209K01LN7	-
110490	Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	113.2859	25-Aug-2025	INF209K01LR8	-
106157	Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	104.281	25-Aug-2025	INF209K01LS6	-
108273	Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	369.5131	25-Aug-2025	INF209K01LV0	-
103176	Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	554.6895	25-Aug-2025	INF209K01LT4	-
119550	Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	383.7051	25-Aug-2025	INF209K01YN0	-
128952	Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272	14-Jun-2017	INF846K01NF8	-
120437	Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1037.3561	25-Aug-2025	-	INF846K01CU0
120438	Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2742.9023	25-Aug-2025	INF846K01CR6	-
120439	Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1032.8188	25-Aug-2025	INF846K01CT2	INF846K01CS4
120436	Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1036.5399	25-Aug-2025	INF846K01CV8	INF846K01CW6
128953	Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075	18-May-2015	INF846K01NG6	-
117447	Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1037.1956	25-Aug-2025	-	INF846K01CC8
117446	Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2658.8147	25-Aug-2025	INF846K01CB0	-
117449	Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1032.8102	25-Aug-2025	INF846K01CF1	INF846K01CG9
117448	Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1036.3702	25-Aug-2025	INF846K01CD6	INF846K01CE4
152164	Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW	10.9766	25-Aug-2025	INF0QA701649	INF0QA701631
152163	Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW	11.6127	25-Aug-2025	INF0QA701615	INF0QA701623
152165	Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth	11.4993	25-Aug-2025	INF0QA701557	-
152166	Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW	11.4993	25-Aug-2025	INF0QA701565	INF0QA701573
152162	Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth	11.6127	25-Aug-2025	INF0QA701607	-
152167	Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW	10.9070	25-Aug-2025	INF0QA701599	INF0QA701581
121936	Bandhan Banking and PSU Fund - Direct Annual IDCW	12.4169	25-Aug-2025	INF194K019M8	-
127471	Bandhan Banking and PSU Fund - Direct Daily IDCW	10.4545	25-Aug-2025	-	INF194KA1JD3
121934	Bandhan Banking and PSU Fund - Direct Fortnightly IDCW	10.4504	25-Aug-2025	-	INF194K010N5
121279	Bandhan Banking and PSU Fund - Direct Growth	25.5253	25-Aug-2025	INF194K015G8	-
121281	Bandhan Banking and PSU Fund - Direct IDCW	13.4270	25-Aug-2025	INF194K016G6	INF194K017G4
121935	Bandhan Banking and PSU Fund - Direct Monthly IDCW	10.4185	25-Aug-2025	-	INF194K011N3
121938	Bandhan Banking and PSU Fund - Direct Quarterly IDCW	10.9455	25-Aug-2025	INF194K018M0	-
121933	Bandhan Banking and PSU Fund - Regular Annual IDCW	11.4202	25-Aug-2025	INF194K015M6	-
127470	Bandhan Banking and PSU Fund - Regular Daily IDCW	10.8538	25-Aug-2025	-	INF194KA1JC5
121931	Bandhan Banking and PSU Fund - Regular Fortnightly IDCW	10.6029	25-Aug-2025	-	INF194K016M4
121280	Bandhan Banking and PSU Fund - Regular Growth	24.7908	25-Aug-2025	INF194K01SN6	-
121282	Bandhan Banking and PSU Fund - Regular IDCW	13.3869	25-Aug-2025	INF194K01SO4	INF194K012D2
121932	Bandhan Banking and PSU Fund - Regular Monthly IDCW	10.6602	25-Aug-2025	-	INF194K017M2
121937	Bandhan Banking and PSU Fund - Regular Quarterly IDCW	10.8423	25-Aug-2025	INF194K014M9	-
148629	Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option	10.4763	25-Aug-2025	INF955L01KF1	INF955L01KG9
148628	Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option	13.0280	25-Aug-2025	INF955L01KC8	-
148630	Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option	10.5717	25-Aug-2025	INF955L01KD6	INF955L01KE4
148625	Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option	12.7368	25-Aug-2025	INF955L01JX6	-
148626	Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option	10.3036	25-Aug-2025	INF955L01KA2	INF955L01KB0
148627	Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option	10.3511	25-Aug-2025	INF955L01JY4	INF955L01JZ1
