title,price,location,link,image_url,posted_date,scraped_at
Small car cover,₹ 300,"Puthur, Chennai",https://www.olx.in/item/other-household-items-c293-small-car-cover-in-puthur-chennai-iid-1814312723,https://apollo.olx.in:443/v1/files/s18yiax3flag-IN/image;s=150x0;q=50;f=webp;,Yesterday,2025-08-26T09:56:18.428271
Maruti Suzuki fronx car cover,"₹ 1,050","Gulzar Nagar, Bareilly",https://www.olx.in/item/mobile-phones-c1453-used-other-mobiles-in-gulzar-nagar-bareilly-iid-1817986471,https://apollo.olx.in:443/v1/files/jlgiz5nekygj1-IN/image;s=150x0;q=50;f=webp;,Yesterday,2025-08-26T09:56:18.428396
Maruti Suzuki fronx car cover,"₹ 1,050","Gulzar Nagar, Bareilly",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-gulzar-nagar-bareilly-iid-1817978433,N/A,Yesterday,2025-08-26T09:56:18.428697
Baleno Car Body Cover,"₹ 1,200","Kanakpura, Jaipur",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kanakpura-jaipur-iid-1817977216,N/A,Yesterday,2025-08-26T09:56:18.428877
"4BHK,5 Washroom, North Facing ,2 car Covered parking, AdequatSun light","₹ 85,00,000","Bill Road, Vadodara",https://www.olx.in/item/for-sale-houses-apartments-c1725-4-bhk-apartments-1916-sq-ft-in-bill-road-vadodara-iid-1816477033,N/A,Yesterday,2025-08-26T09:56:18.429057
Hyundai Exter Car Cover,₹ 500,"Bagalakunte, Bengaluru",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-bagalakunte-bengaluru-iid-1817951090,N/A,Yesterday,2025-08-26T09:56:18.429214
Car body cover available in wholesale market price,₹ 500,"Periyamet, Chennai",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-periyamet-chennai-iid-1813208782,N/A,Aug 15,2025-08-26T09:56:18.429474
Car Cover Brezza,₹ 400,"Badkhal, Faridabad",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-badkhal-faridabad-iid-1817923398,N/A,Yesterday,2025-08-26T09:56:18.429684
Punch car cover,N/A,"Chenippadi, Kumaranellur",https://www.olx.in/item/other-services-c625-punch-car-cover-in-chenippadi-kumaranellur-iid-1817922234,N/A,Yesterday,2025-08-26T09:56:18.429837
"Waterproof,Dust proof car cover","₹ 1,500","Kamala Nagar, Anantapur",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-kamala-nagar-anantapur-iid-1817919279,N/A,Yesterday,2025-08-26T09:56:18.429989
Jack and car cover,N/A,"Venkateshwara Colony, Hyderabad",https://www.olx.in/item/other-services-c625-jack-and-car-cover-in-venkateshwara-colony-hyderabad-iid-1817914675,N/A,Yesterday,2025-08-26T09:56:18.430143
